"id","sd","MOS_1","MOS_2","MOS_3","MOS_4","MOS_5","MOS_6","MOS_7","MOS_8","MOS_9","MOS_10","MOS_11","MOS_12","MOS_13","MOS_14","MOS_15","MOS_16","MOS_17","MOS_18","MOS_19","MOS_20","MOS_21","MOS_22","MOS_22_text","MOS_23","MOS_23_text","MOS_24"
1,1,4,5,5,5,1,1,5,4,1,1,1,1,1,5,4,5,5,5,0,1,4,2,"""",0,"",8
2,0,3,3,2,1,3,5,4,3,4,3,3,3,1,3,3,1,4,1,0,1,2,0,"""",0,"",5
3,0,3,2,2,1,4,3,3,3,4,3,2,4,1,3,4,2,4,2,0,2,4,0,"""",3,"",3
4,0,2,4,5,3,3,4,5,4,4,2,5,4,2,2,4,2,1,5,0,4,3,1,"""",2,"",8
5,0,2,3,2,2,2,1,3,3,2,2,2,3,3,2,3,2,2,3,4,2,4,1,"""",1,"",5
6,1,4,2,1,1,4,5,3,1,4,3,3,2,4,4,3,2,2,1,3,1,2,0,"""",2,"",4
7,0,3,4,4,3,1,2,5,4,2,2,2,3,2,4,5,3,5,4,5,2,3,1,"""",3,"",5
8,0,3,1,2,1,3,3,3,3,2,3,1,2,1,3,3,1,4,1,5,1,3,0,"20",6,"",4
9,0,4,3,1,1,3,4,2,1,5,4,3,4,2,4,4,1,3,1,5,5,1,0,"""",0,"",2
10,1,3,5,5,5,3,1,3,3,3,2,2,3,1,4,4,3,3,5,0,2,5,1,"""",4,"",8
11,1,2,5,5,5,1,1,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,3,"""",5,"",9
12,0,3,2,1,1,4,1,4,2,5,3,2,2,1,2,3,1,1,1,3,1,3,0,"24",6,"",3
13,0,1,1,1,1,3,5,1,2,4,5,5,2,1,2,2,1,1,1,3,1,2,0,"""",5,"",3
14,1,2,4,4,3,2,1,4,4,1,1,1,1,3,3,2,5,3,4,2,2,2,0,"""",5,"",8
15,0,2,5,5,2,5,4,5,2,4,1,1,4,1,3,5,4,1,4,5,4,4,0,"""",4,"",7
16,1,5,5,5,5,1,1,5,2,5,1,1,1,1,5,1,1,5,5,5,3,5,3,"""",2,"",9
17,1,5,5,5,5,3,1,5,1,1,1,1,1,1,5,5,1,4,5,5,1,3,2,"""",3,"",9
18,0,5,4,3,2,1,1,4,3,2,2,2,2,3,5,4,4,5,4,5,5,4,0,"""",5,"",5
19,0,3,3,1,1,3,1,4,2,5,5,5,2,4,3,3,3,4,1,0,1,3,0,"""",1,"",3
20,0,4,2,2,1,4,2,4,4,3,2,1,4,3,4,5,1,1,2,5,2,4,0,"""",0,"",4
21,1,1,5,5,5,2,1,5,3,1,3,1,4,1,1,1,1,1,5,5,5,5,2,"""",5,"",9
22,0,5,5,5,3,4,1,4,3,3,3,2,3,1,4,3,3,4,4,0,1,4,2,"""",2,"",8
23,0,2,4,3,1,4,2,3,3,5,1,2,3,1,2,1,1,1,3,3,2,3,0,"""",5,"",5
24,1,3,5,5,5,3,1,3,2,3,2,3,2,1,2,3,2,3,5,0,1,3,0,"""",2,"",9
25,1,5,5,5,5,1,1,5,3,1,1,1,3,1,5,5,3,5,5,0,5,5,3,"""",5,"",9
26,1,4,5,5,3,3,2,4,4,2,1,1,3,2,4,4,2,2,5,5,3,3,2,"""",4,"",8
27,1,3,5,5,5,1,1,5,5,2,1,1,3,1,3,3,2,2,5,0,1,5,3,"""",5,"",9
